fecha,M1 (datos),M2 (datos),Log_M1,Log_M2,45_degree_line
2019-05-01,4338162025.54,8902391031.72,22.190716598939435,22.909585732852584,22.16493898974597
2019-06-01,4351788055.2,8934026063.3,22.19385264476267,22.913132977187953,22.174167128155563
2019-07-01,4311122441.76,8923500139.27,22.184464134479263,22.911954098867447,22.183395266565157
2019-08-01,4390415277.68,9087065056.15,22.202689655842004,22.930117816888973,22.192623404974753
2019-09-01,4331168999.26,9045053443.32,22.18910331925806,22.925483864379864,22.201851543384347
2019-10-01,4337305969.9,8987117432.09,22.190519248054567,22.919057992421664,22.211079681793944
2019-11-01,4511911114.12,9124889411.18,22.22998665106337,22.934271617018787,22.220307820203537
2019-12-01,4702035012.05,9326244069.73,22.27126123324031,22.956098205881144,22.229535958613134
2020-01-01,4556118434.1,9249820181.36,22.23973687738663,22.947869948428817,22.238764097022727
2020-02-01,4600700186.36,9390817005.66,22.249474343284106,22.962998134439108,22.247992235432324
2020-03-01,4874195864.95,9750200290.22,22.307220977010857,23.000553664331836,22.257220373841918
2020-04-01,5109698027.58,10110403045.33,22.354406145008834,23.03683073519109,22.266448512251515
2020-05-01,5157284139.82,10091136508.44,22.363675948387645,23.034923302078855,22.275676650661108
2020-06-01,5173582445.51,10111819915.06,22.366831215000982,23.036970865159496,22.284904789070705
2020-07-01,5246041226.24,10181464958.89,22.380739576964867,23.04383474330378,22.294132927480298
2020-08-01,5244100368.54,10168640163.36,22.38036954235578,23.04257432748275,22.303361065889895
2020-09-01,5223455851.02,10123059226.98,22.37642506021416,23.038081750279883,22.31258920429949
2020-10-01,5329239333.98,10121155002.45,22.396474350864494,23.0378936249702,22.321817342709082
2020-11-01,5384565666.96,10138130754.0,22.40680248821275,23.039569474329063,22.33104548111868
2020-12-01,5645704961.07,10375726388.31,22.454160909137062,23.062734913943437,22.340273619528272
2021-01-01,5589227605.04,10434950529.83,22.444106940155006,23.068426636671813,22.34950175793787
2021-02-01,5581783983.4,10406909431.85,22.442774272529924,23.065735790945837,22.358729896347462
2021-03-01,5692423852.13,10516385860.05,22.462401978936107,23.07620043580445,22.36795803475706
2021-04-01,5698798441.53,10517260239.6,22.46352118983395,23.076283576839185,22.377186173166653
2021-05-01,5717440525.32,10535614830.13,22.466787081589356,23.078027243214404,22.38641431157625
2021-06-01,5758688675.28,10609004518.94,22.47397562519395,23.08496896037689,22.395642449985843
2021-07-01,5868894949.56,10687510701.45,22.492932199156417,23.092341672514053,22.40487058839544
2021-08-01,5854176324.51,10743638440.57,22.49042114510927,23.097579643383117,22.414098726805033
2021-09-01,5880840328.4,10767354068.27,22.494965501639054,23.09978462181904,22.423326865214626
2021-10-01,5936065869.65,10880791941.99,22.504312439389075,23.110264864511077,22.432555003624223
2021-11-01,6105346298.06,11142674014.99,22.532430666579305,23.13404807989346,22.441783142033817
2021-12-01,6377133888.75,11409793358.32,22.57598459962916,23.15773789007971,22.451011280443414
2022-01-01,6297482085.39,11226064092.12,22.563415721469248,23.141504062707202,22.460239418853007
2022-02-01,6368246316.43,11367809830.21,22.574589965084336,23.15405149908352,22.469467557262604
2022-03-01,6352134445.5,11373346107.64,22.572056726520525,23.154538394081687,22.478695695672197
2022-04-01,6428968873.15,11505044674.99,22.58408000046257,23.16605144351964,22.487923834081794
2022-05-01,6419320095.64,11547441760.01,22.582578044934127,23.16972975674127,22.497151972491388
